year,ppm.per.year
1959,0.94
1960,0.54
1961,0.95
1962,0.64
1963,0.71
1964,0.28
1965,1.02
1966,1.24
1967,0.74
1968,1.03
1969,1.31
1970,1.06
1971,0.84
1972,1.69
1973,1.22
1974,0.81
1975,1.09
1976,0.81
1977,2.16
1978,1.31
1979,1.8
1980,1.68
1981,1.43
1982,0.99
1983,2.1
1984,1.4
1985,1.26
1986,1.48
1987,2.2
1988,2.16
1989,1.36
1990,1.16
1991,1.04
1992,0.46
1993,1.35
1994,1.94
1995,2
1996,1.22
1997,1.93
1998,2.93
1999,0.93
2000,1.61
2001,1.61
2002,2.5
2003,2.27
2004,1.6
2005,2.54
2006,1.68
2007,2.27
2008,1.57
2009,2.02
2010,2.32
2011,1.92
2012,2.61
2013,2.01
2014,2.2
2015,3.03
2016,2.98
2017,1.95
